"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]","re(Mode(3)) [g]"
1,1.45139321993388,7.87431339146921,14.6653493311383
2,2.30725207297525,9.47031293189798,16.3542296406277
3,4.48329667976772,10.389747611941,16.8535735987219
4,6.48001650480431,10.7521959224058,16.8621881974022
5,8.71960209195038,11.0945696638591,16.8632447367816
6,9.33376548602669,11.217544664017,16.8632875040088
7,9.46059775073518,11.241472285736,16.8632990905912
8,9.53793409923095,11.2594108078607,16.863311563415
9,9.62554418936107,11.268690271931,16.8633652399686
10,9.64039295632301,11.2733834896527,16.8642392665544
11,9.67884262979815,11.2794053346225,16.8634076615315
12,9.72936079776227,11.2868689576076,16.8634233789223
